/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,0,1,1,37.93566656112671,52.903258,2.078219037550978
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,1,1,1,38.744426012039185,51.142277,2.2677951214873415
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,0,2,2,36.81519317626953,44.451479,2.4355734795328203
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,1,2,2,35.95057010650635,44.151886,2.7001002300627217
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,2,2,2,35.810089349746704,42.690799,3.0084811124558715
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,0,3,3,35.73148441314697,37.530925,2.7515141534758416
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,1,3,3,34.15365481376648,37.468349,3.0939448874374116
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,2,3,3,33.58760404586792,37.110731,3.505709302841736
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,3,3,3,33.937255859375,35.746953,3.9695046234519653
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,0,4,4,37.12916946411133,30.680095,2.9079851734144033
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,1,4,4,34.37186574935913,30.667099,3.293195756063388
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,2,4,4,34.4350745677948,30.589931,3.7637362457850276
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,3,4,4,34.426188468933105,30.246872,4.303573185699846
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,24,10,4,4,4,32.897149324417114,29.010488,4.7099145991876945
